WATER_PLANTS,water_tech,water_plants_zone,water_plants_capacity,water_plants_variable_om,Latitude,Longitude
Blackstock_Well,Well,L0BNorth,41.42,0.51,44.11533007,-78.82869983
Orono_Wells,Well,L0BSouth,72.71,0.51,43.96779995,-78.62721083
Bowmanville_WSP,WSP,L1C,1515.33,0.51,43.89090571,-78.66308993
Newcastle_WSP,WSP,L1B,340.54,0.51,43.89586621,-78.58051093
Beaverton_WSP,WSP,L0K,304.17,0.975,44.43131148,-79.16596853
Oshawa_WSP,WSP,Oshawa,5583.33,0.355,43.85899322,-78.83647023
Whitby_WSP,WSP,Whitby,4916.67,0.355,43.85144188,-78.92398356
Sunderland_Wells,Well,L0CNorth,57,0.975,44.26410264,-79.05710736
Greenbank_Wells,Well,L0CSouth,23.04,0.975,44.15539485,-79.02461735
Ajax_WSP,WSP,Ajax_Pickering,6813,0.355,43.82297207,-79.00767359
Cannington_Wells,Well,L0E,77.63,0.975,44.34817717,-79.05302581
Port_Perry_Wells,Well,L9L,490.88,0.975,44.06611468,-78.93231804
Uxbridge_Wells,Well,L9P,507.58,0.975,44.10161234,-79.12866737
